,page_number,word,organization
648,8,inclusion,Durham City
649,8,finance,Durham City
650,8,human,Durham City
651,8,resources,Durham City
652,8,technology,Durham City
653,8,solutions,Durham City
654,8,community,Durham City
655,8,building,Durham City
656,8,budget,Durham City
657,8,summary,Durham City
658,8,citycounty,Durham City
659,8,inspections,Durham City
660,8,citycounty,Durham City
661,8,planning,Durham City
662,8,community,Durham City
663,8,development,Durham City
664,8,economic,Durham City
665,8,and,Durham City
666,8,workforce,Durham City
667,8,development,Durham City
668,8,neighborhood,Durham City
669,8,improvement,Durham City
670,8,services,Durham City
671,8,contract,Durham City
672,8,agenciesarts,Durham City
673,8,and,Durham City
674,8,culture,Durham City
675,8,contract,Durham City
676,8,agenciescommunity,Durham City
677,8,development,Durham City
678,8,public,Durham City
679,8,safety,Durham City
680,8,budget,Durham City
681,8,summary,Durham City
682,8,emergency,Durham City
683,8,communications,Durham City
684,8,emergency,Durham City
685,8,management,Durham City
686,8,fire,Durham City
687,8,police,Durham City
688,8,public,Durham City
689,8,services,Durham City
690,8,budget,Durham City
691,8,summary,Durham City
692,8,fleet,Durham City
693,8,management,Durham City
694,8,general,Durham City
695,8,services,Durham City
696,8,parks,Durham City
697,8,and,Durham City
698,8,recreation,Durham City
699,8,public,Durham City
700,8,works,Durham City
701,8,solid,Durham City
702,8,waste,Durham City
703,8,transportation,Durham City
704,8,water,Durham City
705,8,management,Durham City
706,8,debt,Durham City
707,8,management,Durham City
708,8,debt,Durham City
709,8,management,Durham City
710,8,capital,Durham City
711,8,and,Durham City
712,8,grant,Durham City
713,8,project,Durham City
714,8,information,Durham City
715,8,general,Durham City
716,8,capital,Durham City
717,8,improvement,Durham City
718,8,program,Durham City
719,8,process,Durham City
720,8,and,Durham City
721,8,revenues,Durham City
722,8,general,Durham City
723,8,capital,Durham City
724,8,improvements,Durham City
725,8,project,Durham City
726,8,ordinance,Durham City
727,8,durham,Durham City
728,8,performing,Durham City
729,8,arts,Durham City
730,8,center,Durham City
731,8,capital,Durham City
732,8,improvements,Durham City
733,8,project,Durham City
734,8,ordinance,Durham City
735,8,parking,Durham City
736,8,capital,Durham City
737,8,improvements,Durham City
738,8,project,Durham City
739,8,ordinance,Durham City
740,8,solid,Durham City
741,8,waste,Durham City
742,8,capital,Durham City
743,8,improvements,Durham City
744,8,project,Durham City
745,8,ordinance,Durham City
746,8,stormwater,Durham City
747,8,capital,Durham City
748,8,improvements,Durham City
749,8,project,Durham City
750,8,ordinance,Durham City
751,8,transit,Durham City
752,8,capital,Durham City
753,8,improvements,Durham City
754,8,project,Durham City
755,8,ordinance,Durham City
756,8,water,Durham City
757,8,and,Durham City
758,8,wastewater,Durham City
759,8,capital,Durham City
760,8,improvements,Durham City
761,8,project,Durham City
762,8,ordinance,Durham City
763,9,grant,Durham City
764,9,project,Durham City
765,9,ordinances,Durham City
766,9,employment,Durham City
767,9,and,Durham City
768,9,training,Durham City
769,9,community,Durham City
770,9,waste,Durham City
771,9,reduction,Durham City
772,9,and,Durham City
773,9,recycling,Durham City
774,9,city,Durham City
775,9,of,Durham City
776,9,durham,Durham City
777,9,and,Durham City
778,9,triangle,Durham City
779,9,j,Durham City
780,9,council,Durham City
781,9,of,Durham City
782,9,governments,Durham City
783,9,tdm,Durham City
784,9,program,Durham City
785,9,grant,Durham City
786,9,authorization,Durham City
787,9,city,Durham City
788,9,of,Durham City
789,9,durham,Durham City
790,9,and,Durham City
791,9,state,Durham City
792,9,apprentice,Durham City
793,9,program,Durham City
794,9,city,Durham City
795,9,of,Durham City
796,9,durham,Durham City
797,9,and,Durham City
798,9,federal,Durham City
799,9,transit,Durham City
800,9,administration,Durham City
801,9,durham,Durham City
802,9,and,Durham City
803,9,orange,Durham City
804,9,transit,Durham City
805,9,plans,Durham City
806,9,staff,Durham City
807,9,working,Durham City
808,9,group,Durham City
809,9,administrator,Durham City
810,9,grant,Durham City
811,9,transit,Durham City
812,9,planning,Durham City
813,9,and,Durham City
814,9,capital,Durham City
815,9,grant,Durham City
816,9,project,Durham City
817,9,ordinance,Durham City
818,9,police,Durham City
819,9,grant,Durham City
820,9,project,Durham City
821,9,ordinances,Durham City
822,9,supplemental,Durham City
823,9,information,Durham City
824,9,annual,Durham City
825,9,budget,Durham City
826,9,process,Durham City
827,9,fy,Durham City
828,9,adopted,Durham City
829,9,ordinance,Durham City
830,9,and,Durham City
831,9,resolution,Durham City
832,9,pertinent,Durham City
833,9,facts,Durham City
834,9,about,Durham City
835,9,durham,Durham City
836,9,north,Durham City
837,9,carolina,Durham City
838,9,glossary,Durham City
839,10,introduction,Durham City
840,10,t,Durham City
841,10,he,Durham City
842,10,budget,Durham City
843,10,document,Durham City
844,10,is,Durham City
845,10,the,Durham City
846,10,annual,Durham City
847,10,financial,Durham City
848,10,plan,Durham City
849,10,the,Durham City
850,10,types,Durham City
851,10,and,Durham City
852,10,amounts,Durham City
853,10,of,Durham City
854,10,authorized,Durham City
855,10,expenditures,Durham City
856,10,for,Durham City
857,10,city,Durham City
858,10,operations,Durham City
859,10,for,Durham City
860,10,the,Durham City
861,10,period,Durham City
862,10,covering,Durham City
863,10,a,Durham City
864,10,fiscal,Durham City
865,10,and,Durham City
866,10,the,Durham City
867,10,means,Durham City
868,10,for,Durham City
869,10,financing,Durham City
870,10,them,Durham City
871,10,are,Durham City
872,10,set,Durham City
873,10,forth,Durham City
874,10,in,Durham City
875,10,the,Durham City
876,10,year,Durham City
877,10,july,Durham City
878,10,june,Durham City
879,10,this,Durham City
880,10,plan,Durham City
881,10,describes,Durham City
882,10,budget,Durham City
883,10,once,Durham City
884,10,the,Durham City
885,10,budget,Durham City
886,10,is,Durham City
887,10,recorded,Durham City
888,10,in,Durham City
889,10,the,Durham City
890,10,sources,Durham City
891,10,of,Durham City
892,10,revenues,Durham City
893,10,and,Durham City
894,10,how,Durham City
895,10,funds,Durham City
896,10,will,Durham City
897,10,be,Durham City
898,10,spent,Durham City
899,10,accounting,Durham City
900,10,system,Durham City
901,10,it,Durham City
902,10,serves,Durham City
903,10,as,Durham City
